"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R21","SMD_0805_RESC2012X60N","18.78mm","15.68mm","18.78mm","15.68mm","17.78mm","15.68mm","T","360.00","1R"
"A8","SMD_CHIP_ANTENNA_GPS_BT","66.045mm","28.515mm","68.14mm","25.65mm","68.14mm","26.325mm","T","270.00","ANTENNA_GPS_BT"
"A5","SMD_CON_ANTENNA_GSM_PCB_1_INV","44.425mm","49.55mm","45.05mm","51.3mm","43.025mm","51.3mm","T","360.00","PCB"
"A7","SMD_CON_ANTENNA_SMA_RIGHT_ANGLE","65.175mm","19.995mm","65.175mm","18.725mm","65.175mm","18.725mm","T","360.00","SMA"
"R19","SMD_0402_RESC1005X37N","61.075mm","25.65mm","61.075mm","25.65mm","60.635mm","25.65mm","T","0.00","0"
"A9","SMD_CON_ANTENNA_SMA_RIGHT_ANGLE","65.175mm","13.645mm","65.175mm","13.645mm","65.175mm","13.645mm","T","360.00","SMA"
"A10","SMD_CON_ANTENNA_UFL","59.445mm","13.645mm","60.195mm","13.645mm","58.695mm","13.645mm","T","270.00","ANTENNA_UFL"
"R11","SMD_0603_RESC1608X55N","27.93mm","34.05mm","27.93mm","34.05mm","27.93mm","33.25mm","T","90.00","10k"
"R13","SMD_0603_RESC1608X55N","26.43mm","34.05mm","26.43mm","34.05mm","26.43mm","34.85mm","T","270.00","10k"

